NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PKP1	267	1.2954518795013428	0.0077018198	No	
row_1	SRSF11	339	1.2394126653671265	0.05225047	No	
row_2	MARK1	585	1.062609076499939	0.05332907	No	
row_3	ATG2A	995	0.8982853293418884	0.013546007	No	
row_4	SLC16A10	1512	0.7573758959770203	-0.054497145	No	
row_5	AGO2	1595	0.7374703288078308	-0.03600326	No	
row_6	STXBP2	1816	0.6866327524185181	-0.04774065	No	
row_7	RECQL4	2144	0.601809024810791	-0.08507459	No	
row_8	KALRN	2159	0.5974804162979126	-0.059521973	No	
row_9	RFX2	2225	0.5818634629249573	-0.044991203	No	
row_10	EPPK1	2248	0.5741680860519409	-0.022158282	No	
row_11	TINAGL1	2294	0.562664270401001	-0.0045078453	No	
row_12	ARRB2	2322	0.5547208786010742	0.016393656	No	
row_13	EVPL	2448	0.5201249718666077	0.015898101	No	
row_14	KXD1	2535	0.49542149901390076	0.022090685	No	
row_15	ST3GAL1	2592	0.47700047492980957	0.033455614	No	
row_16	STAU2	2609	0.4738965928554535	0.052736025	No	
row_17	ROCK1	2758	0.42156460881233215	0.042923633	No	
row_18	RPS6KA2	2777	0.4163808226585388	0.05906945	No	
row_19	LMNB2	2861	0.38557320833206177	0.060650006	No	
row_20	COQ8B	3021	0.32670527696609497	0.0441154	No	
row_21	KAT8	3393	0.17994755506515503	-0.022122111	No	
row_22	CORO1A	3606	0.08451733738183975	-0.06084166	No	
row_23	ARSD	3625	0.07716414332389832	-0.060805403	No	
row_24	CRYBG2	3663	0.060780808329582214	-0.065377064	No	
row_25	ADAMTS7	3735	0.03127140924334526	-0.0782036	No	
row_26	HS2ST1	3824	-0.007728384342044592	-0.09557494	No	
row_27	SHPRH	3858	-0.02090243622660637	-0.10123415	No	
row_28	SUZ12	3996	-0.11188993602991104	-0.12353585	No	
row_29	ADCY2	4066	-0.1526099592447281	-0.13019681	No	
row_30	STEEP1	4381	-0.37482842803001404	-0.17568973	No	
row_31	WRN	4395	-0.3884522318840027	-0.15986238	No	
row_32	PRKN	4638	-0.5985350012779236	-0.18021818	Yes	
row_33	NPFFR1	4735	-0.6842772960662842	-0.16707246	Yes	
row_34	KLF15	4807	-0.7591090202331543	-0.14533365	Yes	
row_35	HLA-DQA1	4879	-0.8434224128723145	-0.11959076	Yes	
row_36	CD247	4904	-0.8997082710266113	-0.08170093	Yes	
row_37	MEIS2	4965	-1.0433720350265503	-0.04424504	Yes	
row_38	CFAP70	4974	-1.0717296600341797	0.005039327	Yes	
