"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Gene"
"ACD",5.79753038981975,4.56382276292182,1.69834325197583,0.000339902476694435,0.00260899614240579,"ACD"
"MCM7",9.01050726660621,4.56249606963982,1.09603071537499,1.37675470571219e-06,3.55016801941953e-05,"MCM7"
"PSME4",25.0645050188071,4.56136847647196,0.992411814512603,1.66138379082211e-07,6.74626849083541e-06,"PSME4"
"MMP2",52.4191476387093,4.56098260445247,1.16196989269124,8.80092261664017e-06,0.000155846914155065,"MMP2"
"RPS6KA4",29.8790072734217,4.56068572024857,1.51490429661115,5.32148755595487e-05,0.000611365371164214,"RPS6KA4"
"YLPM1",60.3171182636787,4.56038721920285,0.961728095144469,3.22412580825036e-07,1.14185768913248e-05,"YLPM1"
"ITSN2",25.2163514551766,4.55570877762813,1.07848002662374,4.69824720785839e-07,1.52272778197814e-05,"ITSN2"
"WLS",7.35383712101147,4.55460069294784,1.4097711241265,0.000111895980484702,0.00109274505890071,"WLS"
"TRMT2A",8.1500718855091,4.55268803536043,1.83358608346285,0.000322364178965861,0.00250393263219831,"TRMT2A"
"RCE1",6.87643454597619,4.55228109396005,1.45909193014481,0.000188008229753847,0.00163895391403554,"RCE1"
"C1orf116",6.38007590799654,4.55218516783527,1.46624153575703,0.000224931315280112,0.00189874815783946,"C1orf116"
"PPP2R5D",6.42706442137589,4.54903944327969,1.66669452128744,0.00033065693949854,0.00255328590822616,"PPP2R5D"
"HTRA3",4.69063985324973,4.54898118168332,1.61184498019096,0.000367927204305037,0.00276994103571363,"HTRA3"
"STT3A",22.8997800113392,4.54874802546543,0.965560651245713,2.49599327259209e-07,9.40556824933301e-06,"STT3A"
"NRP2",21.7898519030384,4.54842545006793,1.17709673156376,1.44626802425679e-06,3.66915860875632e-05,"NRP2"
"ZNF692",4.75107434476822,4.54138146142082,1.59863849272275,0.00032095335614994,0.00249471500316546,"ZNF692"
"SREK1",40.1436173516757,4.54071217617694,0.740292840321679,2.29776572444492e-10,3.56810191781661e-08,"SREK1"
"CHD6",25.8465806853881,4.53735216553306,0.992185586266309,7.67350366405817e-07,2.25435094130574e-05,"CHD6"
"F11R",40.4943666365415,4.5363310133855,0.839908034739343,1.32725603176292e-08,9.10458979846693e-07,"F11R"
"COPZ2",4.40465451147255,4.5344208636924,1.65835316904323,0.000604133527230008,0.00405543175372916,"COPZ2"
"PER1",35.2825922806604,4.53389352886308,1.11926351392735,1.41210750872551e-06,3.62150475604358e-05,"PER1"
"ZRANB1",4.85918624988573,4.53354114961723,1.59835072829452,0.000263174513587226,0.00213118570286595,"ZRANB1"
"TNKS1BP1",87.4158920227185,4.53122826978289,0.960910359776943,3.18229253903968e-07,1.13271979519319e-05,"TNKS1BP1"
"MCM2",6.26809362576246,4.52548413276587,1.64652242174388,0.000244593307721756,0.00201536328362457,"MCM2"
"UBE4A",9.45770506286109,4.52427865475707,1.35601144998894,0.00013425870225671,0.00126480648105971,"UBE4A"
"MTSS2",60.8610123556224,4.52038055128523,0.756013209566834,3.22296975958111e-10,4.55156772527293e-08,"MTSS2"
"RPL22",14.0350850706967,4.51609648373096,0.952304020477694,8.70374685097978e-08,4.1272700252079e-06,"RPL22"
"RPL3",38.9096887363742,4.51594223516319,0.905959173464798,4.28911433922865e-08,2.37684214618197e-06,"RPL3"
"RAPH1",38.1495554371481,4.51524343405942,0.90290297761157,7.05406278158589e-08,3.48016707851946e-06,"RAPH1"
"SIAH2",6.96985982641079,4.51031943790192,1.30158819894986,5.87545794600613e-05,0.000655024227149957,"SIAH2"
"YPEL3",7.90582295765309,4.50591189000047,1.50253280657933,0.000178539700857623,0.00157684032051192,"YPEL3"
"BPTF",57.2860930384481,4.50580160790981,0.818391779276017,4.1510909218803e-09,3.6598811908137e-07,"BPTF"
"TUBB2A",9.6641808955935,4.50377897623874,1.51193427846711,8.00533085059747e-05,0.000837330349739399,"TUBB2A"
"LAMP2",22.2807085643218,4.4983012134905,1.19934747820103,2.15672421409423e-05,0.000302949004665662,"LAMP2"
"SLC39A13",8.99820957699258,4.49624046284801,1.51690558410984,0.000445827473117581,0.00318664037563204,"SLC39A13"
"ZNF513",9.37015725334362,4.49301550937676,1.48124199567724,7.04826506500093e-05,0.000756831562564803,"ZNF513"
"UBE2Z",16.1533321078466,4.4920320016608,0.897495736714858,4.46476496935873e-08,2.45239456023302e-06,"UBE2Z"
"IPO4",16.6592323039352,4.48706775393144,1.222136137996,2.21827551650894e-05,0.000308832032746678,"IPO4"
"U2AF1",32.1821916442191,4.48651790924095,0.841126475742734,8.5110547473551e-09,6.43153554197192e-07,"U2AF1"
"UNC5B",16.2584868310804,4.48466346876316,0.949781007706102,5.82739285571635e-08,2.99443230705919e-06,"UNC5B"
"SRSF1",9.68656540817931,4.48344383458317,1.23155442237668,1.26076445354005e-05,0.000204076317216202,"SRSF1"
"MAX",8.11777546820703,4.47980761765987,1.19086360298926,4.26510096886264e-06,8.69699015743116e-05,"MAX"
"MANSC1",39.7096371395336,4.47882006151505,1.24159402896918,4.05127188781209e-05,0.000490982187364259,"MANSC1"
"PSMB3",4.41549131672391,4.4782110198642,1.68688889197446,0.000863478888820693,0.00532597999909438,"PSMB3"
"SHTN1",13.8669200177792,4.46986514741203,1.2427187822703,3.65839039280066e-05,0.000454276930058578,"SHTN1"
"RSC1A1",4.52972440874116,4.46781361285775,1.74494988930174,0.00130017546273401,0.00729947535315627,"RSC1A1"
"CXCL1",11.9746839906936,4.46732952583735,1.66923306442822,0.00109762723149468,0.00642791977134329,"CXCL1"
"ZSWIM8",43.4234150361308,4.46430351426993,0.869826181277805,4.84722342715981e-08,2.62437219345576e-06,"ZSWIM8"
"ITPR3",57.0358352021546,4.45973359375612,0.807574952610328,1.0324257513664e-08,7.36828701644372e-07,"ITPR3"
"PGAP2",3.86669491746419,4.45632944013552,1.73613511785597,0.00140782754732074,0.00770786945803538,"PGAP2"
"CEP170B",89.4762437163546,4.45591047976866,0.998986115667782,6.49368876815395e-07,1.9733831394147e-05,"CEP170B"
"RPL10A",13.1366978207488,4.45387490237694,1.23459836116631,2.90553362956816e-05,0.000377919055428459,"RPL10A"
"MMP14",170.018140962288,4.45198802325163,0.696845361442964,1.4929598204069e-11,4.79477618685678e-09,"MMP14"
"ANTXR1",77.9479171052579,4.44995213696445,0.703115387231763,4.75632177743628e-11,1.19687106741752e-08,"ANTXR1"
"PIK3R1",37.4738966698433,4.44714905751143,0.962595642392919,3.98462423941179e-07,1.32175411096545e-05,"PIK3R1"
"FOXK2",14.5237057967119,4.44541649927265,1.02437350671548,1.40844481046506e-06,3.61867883939668e-05,"FOXK2"
"TRIB2",3.80838304394707,4.44501545998283,1.69525944480481,0.00110105420330635,0.0064373177273157,"TRIB2"
"PGAM1",10.3874248532519,4.44495052710671,1.28662898498766,7.55500088649057e-05,0.00079909968208831,"PGAM1"
"ASMTL",6.59484816517161,4.44190146420736,1.46667841361313,0.000278846007175509,0.00223045439667212,"ASMTL"
"RPL13A",59.3437304135,4.43796024282564,1.33153004511272,2.62644888178242e-06,5.90053245603615e-05,"RPL13A"
"RNPEP",8.5245056166412,4.43707573570053,1.28575384405266,1.91887208474012e-05,0.00027697223114875,"RNPEP"
"PRPF8",73.9968388858327,4.43208865296372,0.848181205390866,7.19771691949249e-09,5.68217529549432e-07,"PRPF8"
"UBC",35.9812828224978,4.42914255157157,0.963131189144006,2.74915645714419e-07,1.01964120461692e-05,"UBC"
"GNB1",29.4763018512564,4.42910859160982,0.804121697951457,3.24777200854025e-09,2.96386788052315e-07,"GNB1"
"KIF16B",24.3182985472813,4.42590096104197,1.17906862718462,1.72333973832283e-05,0.000256000237747468,"KIF16B"
"CDK2",4.64942143946775,4.4141703682059,1.54693979320043,0.000726318189922276,0.00466103648582729,"CDK2"
"STX16",20.7727492156372,4.41352854943219,0.874757728913891,3.53788399003117e-08,2.05735961576669e-06,"STX16"
"WAS",9.35332648591405,4.41116363469844,1.64180693757268,0.000232791174775098,0.00194075049601587,"WAS"
"NAT10",11.7979668410504,4.40984719550574,1.13048697883999,1.39037470389956e-05,0.000219523854087203,"NAT10"
"PPP2R5B",5.26979281983647,4.4066151591447,1.7770718425888,0.00148239788053681,0.0080044953954397,"PPP2R5B"
"TMEM183A",10.856878374211,4.40633768927589,1.19650799761599,2.59804837037475e-05,0.000347661188653084,"TMEM183A"
"RPS6KB2",18.2295142133205,4.40542411054017,1.00333293963914,1.02499891465863e-06,2.83449308474386e-05,"RPS6KB2"
"UBAP2L",25.1804680299991,4.40507954852745,0.985677551998763,7.86112350535053e-07,2.27634295602681e-05,"UBAP2L"
"XPC",5.21908516635374,4.40387737781349,1.54903276169542,0.000701003635376791,0.00453566042651531,"XPC"
"GABRE",29.5208466171121,4.40352668745332,0.799400430755592,2.32689486946903e-09,2.28342718058798e-07,"GABRE"
"ARHGAP30",12.9405345002417,4.39976458936105,1.24251100309524,1.20082659149093e-05,0.000197083397960027,"ARHGAP30"
"HLA-C",67.458578282809,4.39937682324076,0.976247049210604,3.72944415776167e-07,1.26684556233967e-05,"HLA-C"
"BCL3",48.3915624924243,4.39707802821098,1.10622630805486,3.2172197596412e-06,6.98349192373115e-05,"BCL3"
"CHMP4B",7.07789880897219,4.3928166060971,1.43749700628877,0.000217300551124315,0.00185203503494433,"CHMP4B"
"HLA-B",95.9985876378642,4.39233676485001,1.00629278186391,1.06936726199539e-06,2.91160477442328e-05,"HLA-B"
"BRD1",11.9879631502017,4.39006618694566,1.02812066628898,1.64937915085631e-06,4.0721493037976e-05,"BRD1"
"TMED2",10.5513316534142,4.38928848779941,1.27589135733685,1.12662813624042e-05,0.000188406889860514,"TMED2"
"SERPINE2",41.1347151040806,4.3876602921077,1.11543382688091,1.53856137503176e-05,0.000235807058466093,"SERPINE2"
"GASK1B",7.20736292853897,4.38757894438542,1.23898143335057,3.83653473202278e-05,0.000471989373085347,"GASK1B"
"DHRS4",6.67581207500722,4.38636087038471,1.72920890328395,0.00176933417687966,0.00918195418783931,"DHRS4"
"COL6A1",192.749088991692,4.38569912367051,0.735564783563567,2.0075757884886e-10,3.36962231772859e-08,"COL6A1"
"SURF4",23.4885420852463,4.3849819324276,1.15697623846871,3.37181677188014e-06,7.24103160717145e-05,"SURF4"
"C6orf136",8.3840326277272,4.38089689851586,1.46494996677941,0.000261548050559619,0.00211922907251031,"C6orf136"
"MBNL1",10.919933564719,4.37959840605397,1.26085672170443,2.2758005243611e-05,0.000315105228062321,"MBNL1"
"SPINT1",12.4958724320568,4.37945109171984,1.22673100950192,1.86854846996822e-05,0.000272773330879349,"SPINT1"
"NOP14",6.44715024657884,4.3791720918129,1.37024428409602,0.000126985737570749,0.00121082014683688,"NOP14"
"TENM2",55.2996571753673,4.37827129920086,0.80440709272844,6.44705696175811e-09,5.23582539808068e-07,"TENM2"
"MAGED1",80.1104594620413,4.37786981504245,0.869646631114414,6.99984198145512e-08,3.47069358034885e-06,"MAGED1"
"SMAD1",8.75948085399652,4.37661264383321,1.19942433455442,1.51511491278922e-05,0.000232971586862073,"SMAD1"
"SERINC2",46.6697246853953,4.37545112125632,0.945515805406553,1.94839478367921e-07,7.73392322701432e-06,"SERINC2"
"SIL1",5.31866407070824,4.37323231194419,1.4556575679796,0.000351318252501642,0.00267194737680339,"SIL1"
"UCN2",7.07391368982239,4.37311339519834,1.45105316926788,0.00025631339871909,0.00208518401686785,"UCN2"
"LGR4",9.78098870550149,4.37230124816905,1.67061920457857,0.00146378103095944,0.00792820611287382,"LGR4"
"YY1",23.8133831761137,4.3713715577611,0.820658969261532,1.00103472521321e-08,7.21715392958567e-07,"YY1"
"RPL8",48.0618782677266,4.36571556852193,1.22738781651791,6.67393729597147e-06,0.000124583101624006,"RPL8"
"SLC25A1",5.79277985155598,4.36454802510258,1.72551773520881,0.000505040475588707,0.00351216877979528,"SLC25A1"
"ABTB1",12.7517780124683,4.36373044367376,1.28809726780449,5.32118004439774e-05,0.000611365371164214,"ABTB1"
"IRS1",24.9589180623748,4.36205788939334,0.86900044517633,1.95232809185881e-08,1.23162269044897e-06,"IRS1"
"NSFL1C",6.57041583576421,4.36084420597564,1.42158328697461,7.04649490114786e-05,0.000756831562564803,"NSFL1C"
"MAP7D1",53.9179762920955,4.35927592559623,1.01713651350953,1.92823010230726e-06,4.58717501274476e-05,"MAP7D1"
"SMAD3",20.7140141192127,4.35104867802455,0.850542906119079,1.8153008482484e-08,1.16406814772424e-06,"SMAD3"
"ATG2B",16.2581843778934,4.34942558189282,1.17380990479025,2.04893873992183e-05,0.000290115764868091,"ATG2B"
"ESRP2",9.59472929820315,4.34658204614105,1.20839086937495,1.95865664142168e-05,0.000280707677484074,"ESRP2"
"CHERP",15.681826390664,4.34083870364108,1.13587999887801,1.47474337583438e-05,0.000228504371095566,"CHERP"
"COL4A2",123.987191679279,4.33969228471044,0.8458753900329,4.47751607487169e-08,2.45239456023302e-06,"COL4A2"
"RALY",12.2408465815993,4.33052585024476,1.20561138890235,1.28378295965653e-05,0.00020661887247046,"RALY"
"FOSB",13.9565779218588,4.33048400154317,1.06103167319527,4.46430751173711e-06,9.01216134976529e-05,"FOSB"
"ZNF469",49.7703248891797,4.32575709993808,0.800958956570689,1.0984866264997e-08,7.65873846531143e-07,"ZNF469"
"CYB5R3",59.3416191712715,4.32353491976639,0.886192537055357,2.46259220293132e-07,9.32946123850468e-06,"CYB5R3"
"POFUT2",8.79214840502766,4.3213689438709,1.06317452766877,4.66626520014971e-06,9.33448039131557e-05,"POFUT2"
"CNPPD1",16.4277682518822,4.31654355153832,1.27022823422671,8.95297754014856e-05,0.000914122294941036,"CNPPD1"
"TMEM164",4.36134805099191,4.31647249622333,1.63276348239685,0.000441785999350061,0.0031674209808255,"TMEM164"
"TACSTD2",14.7000794053202,4.31421903995792,1.10193023613451,3.8300333828951e-06,8.03000025722414e-05,"TACSTD2"
"CHTF8",4.09128897715743,4.31370405649976,1.67163654664007,0.00112407639209758,0.00653920936455831,"CHTF8"
"FAM234A",11.6238439246551,4.3132204949215,1.15553744985298,5.49498110802979e-06,0.000105789615854999,"FAM234A"
"PPDPF",22.8202855065034,4.31266285561891,1.11705643321239,2.40035818574414e-06,5.52434226754892e-05,"PPDPF"
"ZDHHC7",10.9252001048053,4.30978839700912,1.22161062907592,3.17011636793466e-05,0.000403575805362925,"ZDHHC7"
"POLR2K",4.53541086568131,4.30699479151969,1.77155718080153,0.00191452206768667,0.0097880287042259,"POLR2K"
"U2AF2",45.1377851983348,4.30073706827299,1.22493256185434,3.51953713520807e-06,7.49014747855801e-05,"U2AF2"
"COL18A1",104.202237388409,4.29881321922877,0.881578099333339,3.93167840612644e-08,2.23126697015955e-06,"COL18A1"
"LSS",23.1749548404309,4.29662992700656,1.24360152474737,2.17885373021909e-05,0.000305147493178652,"LSS"
"COL5A1",437.79513306563,4.29606397486607,0.695195487006054,9.19389643814933e-11,1.93908881444012e-08,"COL5A1"
"SEC24A",10.1109775325077,4.29568166847417,1.2800741303172,0.000107126529983039,0.0010541817515253,"SEC24A"
"ETS2",28.867144197889,4.29152249398812,0.86625906003939,1.22997850989046e-07,5.2829259341222e-06,"ETS2"
"ZDHHC5",34.6816920541716,4.28914437945848,0.846016344712709,3.38400046761335e-08,1.99247127532684e-06,"ZDHHC5"
"TNS4",51.9607831585221,4.28765652726284,0.942083497666946,3.53801078401437e-07,1.21643869559384e-05,"TNS4"
"CCDC47",6.63819693137907,4.28582936825108,1.40766758669799,0.000232709047127693,0.00194075049601587,"CCDC47"
"PI4KA",30.6133684540337,4.28577216131363,0.928267854601455,6.68803210547584e-07,2.01082088686126e-05,"PI4KA"
"CFL1",36.4403255392686,4.28538605929528,0.912996006080937,3.10328640204446e-07,1.11300863317996e-05,"CFL1"
"EIF3M",17.2839474438169,4.28370313259721,1.01579317761599,3.75367882452586e-06,7.9287347487855e-05,"EIF3M"
"IRF6",12.0859825408248,4.28282669874954,1.15721537744104,1.16460476512588e-05,0.000192705268571355,"IRF6"
"PGD",9.92910639820898,4.28247189953408,1.28290506902457,7.86078560543789e-05,0.000824978051156076,"PGD"
"SELENOP",22.949048016687,4.28237494318846,1.38115666972023,0.000264712527444517,0.00214118644837921,"SELENOP"
"SLC23A2",6.2017779720874,4.28009892838967,1.50616212515487,0.000581741822653279,0.00393329841909736,"SLC23A2"
"RTN3",20.3826971892512,4.28004621836191,1.06676510617343,1.44238356753923e-06,3.66915860875632e-05,"RTN3"
"SH2B1",22.6446811244536,4.27891157027935,1.04741770894195,5.26815098967466e-06,0.000101978413198757,"SH2B1"
"ADCK5",7.01807007164556,4.27657188106414,1.37029241713739,0.000239862476622684,0.00198680929493268,"ADCK5"
"PILRB",22.1094605275392,4.27574639746059,1.07511409278238,2.64913502815813e-06,5.93263503691006e-05,"PILRB"
"ID3",4.64577510616062,4.2741263745218,1.70041915373956,0.00104241031199793,0.00618319996081489,"ID3"
"SEC61A1",47.7558446859544,4.27177489364699,0.697173813926778,1.71873200524951e-10,3.00827480611236e-08,"SEC61A1"
"HTRA1",13.2707305812414,4.2708321122539,1.12252612558396,1.32083382009831e-05,0.000210900595613664,"HTRA1"
"SKIV2L",17.3585795707145,4.2701086203974,1.04163784033802,4.46062959867181e-06,9.01216134976529e-05,"SKIV2L"
"SLC3A2",38.536663045903,4.26984751478902,0.931896456050855,5.50745312577526e-07,1.74498316472399e-05,"SLC3A2"
"ATP6V0C",9.73767891631189,4.2664617924543,1.32123796933915,0.000119176919842478,0.00114876470279267,"ATP6V0C"
"LMAN1",14.9241099472892,4.26548482704219,1.12084263475284,5.31905405545354e-06,0.000102822917725874,"LMAN1"
"DAG1",12.1905996400081,4.26523451567173,1.39822273261726,6.73128112451843e-05,0.000728328740969142,"DAG1"
"TAX1BP1",8.0701548985911,4.26520775248051,1.32651562674094,3.84073329662446e-05,0.000471989373085347,"TAX1BP1"
"RPS4Y1",7.97419029166071,4.26045478783849,1.53186624689454,0.000292180358695924,0.00231175848193287,"RPS4Y1"
"ISG20L2",9.63964932914598,4.26002795137365,1.05940583156298,7.59904960857355e-06,0.000139457363660718,"ISG20L2"
"ISG15",8.12110864959321,4.25839073188922,1.72224916390734,0.00150236244872402,0.00808141749635291,"ISG15"
"APEH",8.31893781126894,4.25645435030203,1.28431205749342,8.48708268906365e-05,0.000877971928837177,"APEH"
"CD59",54.3052789609601,4.25635952023885,1.10541745623546,1.30539917114241e-05,0.000209145075821014,"CD59"
"CYP2S1",7.19976969238778,4.25342846618028,1.63468880199207,0.000352880047778482,0.00267949916988594,"CYP2S1"
"SERBP1",17.5933628204222,4.25165699295698,1.05042190831717,1.7048146970761e-06,4.16794748864747e-05,"SERBP1"
"ARHGDIB",5.16678594488039,4.24996197683971,1.74012280631891,0.00110020458926249,0.00643501285218054,"ARHGDIB"
"CD74",56.2148815129918,4.24820278646115,1.03627317640823,6.52813504036184e-07,1.97792998970945e-05,"CD74"
"SERPINE1",32.7722294912146,4.24300802817765,1.04753831608338,7.44470202985637e-06,0.00013698057862487,"SERPINE1"
"RPSA",35.1928349597116,4.24210823504599,0.88096463082883,2.93091853733087e-07,1.06469948203143e-05,"RPSA"
"PLEKHA4",24.7570469753215,4.24105760997046,1.10047193917045,1.53293504718023e-05,0.000235199838780714,"PLEKHA4"
"COL17A1",172.039072997699,4.24096443374366,0.956440088401316,3.28791118232159e-07,1.15864022237871e-05,"COL17A1"
"CD248",35.6078408350293,4.23910283357148,0.973133183280128,1.83326748812901e-06,4.42080253835342e-05,"CD248"
"VCL",36.8226370461024,4.23852335253068,1.255413987622,1.57636450352444e-05,0.000240038866371809,"VCL"
"ACIN1",37.0285883453647,4.23305020833328,0.745927881278749,7.15711791878669e-10,8.871687132489e-08,"ACIN1"
"SLC44A2",37.1374682422806,4.23167185813285,0.889603596333738,7.24884957298648e-08,3.53218942468524e-06,"SLC44A2"
"NDFIP1",7.00401169499544,4.22831733005794,1.26750641386556,0.00015041465860266,0.00138109781722819,"NDFIP1"
"RPS2",55.2877899646674,4.22753905185624,0.901394838175582,3.63311419957704e-07,1.24008542884597e-05,"RPS2"
"HNRNPUL2-BSCL2",21.1304414175852,4.22749103859523,1.13581642430943,1.90096455607364e-05,0.000275795997349863,"HNRNPUL2-BSCL2"
"JPT1",25.7584943457108,4.22712486933777,1.52569095184152,4.38896388488159e-05,0.000522741733264324,"JPT1"
"EGFL7",10.4884328780908,4.22610104686492,1.43546584466718,0.000453285687242419,0.00322689171104414,"EGFL7"
"RUSF1",12.0840670404002,4.22276344986622,1.15063133359906,1.69300349204722e-05,0.000253699176523005,"RUSF1"
"EIF4G1",105.034042768853,4.2189997254548,0.845343696208885,6.69005988591933e-08,3.35238426411085e-06,"EIF4G1"
"SFRP4",12.7134067804507,4.21873777009453,1.14533562824085,1.49546369919398e-05,0.00023070302983963,"SFRP4"
"CHCHD10",6.30166958486756,4.2179513394643,1.77326998320458,0.000591510303896694,0.00398219728650033,"CHCHD10"
"UBP1",26.2396278132868,4.21792241915781,1.02918785390892,1.04078134488809e-06,2.85065145225256e-05,"UBP1"
"GTF2IRD1",32.8311547077659,4.21757589460268,0.915955193453599,6.3607058229866e-07,1.94132038843679e-05,"GTF2IRD1"
"CHCHD2",7.77935899698406,4.21638250072029,1.40995513482547,0.000392403881245559,0.00290773951016308,"CHCHD2"
"STARD3",13.618289219025,4.2155056625084,1.30155675205167,0.000150075474305243,0.00137977653051879,"STARD3"
"TRAPPC1",6.71901155934752,4.21501528886883,1.47833500486463,0.000498169009287148,0.00347292859903142,"TRAPPC1"
"LLGL2",12.1170832563126,4.21314378359299,1.19718342905141,3.36740923057168e-05,0.000423230440346511,"LLGL2"
"LTB4R",19.8879060080051,4.21286544092525,1.11766514777201,1.63781786939483e-05,0.000247794478719683,"LTB4R"
"SPTBN2",48.8820257094137,4.21000592591349,0.73862966957423,1.91505963528103e-09,1.919270050082e-07,"SPTBN2"
"RAN",15.5839546602043,4.20976018303592,0.997976130746748,4.17710719857002e-06,8.57946247427222e-05,"RAN"
"TUBB",66.5061753163453,4.20965093141771,0.695876467696507,1.65707246789293e-10,3.00206295433269e-08,"TUBB"
"TUBA1C",71.1409379778689,4.20746606325493,1.15965115987738,1.66489804946588e-06,4.09872375209099e-05,"TUBA1C"
"MXRA8",12.0497057797331,4.20572060886019,1.24966616963311,2.54754077911781e-05,0.000342658444908826,"MXRA8"
"ARHGEF34P",11.3152027456786,4.20460780873853,1.40163165423494,0.000351283335891937,0.00267194737680339,"ARHGEF34P"
"RPL17",12.4265797316387,4.2042309045396,1.21856602567342,7.40719415872987e-05,0.000788185697718462,"RPL17"
"ACTR2",13.961647599984,4.19997141354095,1.03737043277705,7.95004342038075e-07,2.29502191646605e-05,"ACTR2"
"FKBP1A",22.6503709129672,4.19542605253997,1.03123121295452,2.5808013362495e-06,5.83422291298395e-05,"FKBP1A"
"ATP5MF",4.87178704018991,4.19342490492222,1.56753033356951,0.00126562830483518,0.00712817599666241,"ATP5MF"
"TRIP10",13.8276456592257,4.19318484743468,1.05474223860138,6.22426338103352e-06,0.000117429994442436,"TRIP10"
"ALDOA",61.7570484534894,4.19210853975723,0.716404322258125,2.17511939883658e-10,3.45355193538874e-08,"ALDOA"
"SPEN",76.2817973875915,4.19178922267486,0.864422197079844,9.18680741622552e-08,4.2384962064106e-06,"SPEN"
"MTDH",43.8840632713982,4.19136381080692,0.75958551536453,4.02136736993782e-09,3.58172428794979e-07,"MTDH"
"USP21",7.21483622719204,4.18833268785636,1.31546660578278,0.000160167599994335,0.00145085150994868,"USP21"
"TGFB1I1",14.9071518123522,4.18671228206946,1.08591252577699,1.006047412207e-05,0.00017337141441338,"TGFB1I1"
"MUC1",31.696943074741,4.18585800567265,1.11243674879514,9.54724378960674e-06,0.000166147908855829,"MUC1"
"SAP18",5.47135932118079,4.18516144800462,1.57120695919279,0.00120399100366804,0.00688530832571149,"SAP18"
"WASHC2C",9.5361106623067,4.18242752719283,1.30633081343706,3.37828105474555e-05,0.000423965271621753,"WASHC2C"
"LSM14A",10.8076717416273,4.1804818834584,1.09279074815439,5.86865827101667e-06,0.000111615087520507,"LSM14A"
"HSPA5",46.5404033895257,4.17805393895124,0.750318200270501,1.25498988731922e-09,1.36417400751599e-07,"HSPA5"
"ULK1",42.4687996824542,4.17695339356564,0.850763253220153,8.9230265285613e-08,4.19762459966623e-06,"ULK1"
"PLXNC1",14.9947305356019,4.17531146699208,1.15621957986729,3.42864849843559e-05,0.000429142886903395,"PLXNC1"
"SLC39A6",10.1327389030748,4.17377182640298,1.38696724542708,0.000375482151889386,0.00281175209935129,"SLC39A6"
"CYBA",23.2598339192049,4.16853937845777,1.07321443458514,1.02962865622314e-05,0.000176359788376839,"CYBA"
"GPX2",7.9578762106122,4.16784358441126,1.40231929294481,0.000457174229355147,0.00325129795421116,"GPX2"
"RERE",90.7422245144736,4.16713643179508,0.81777838732339,5.94282611734247e-08,3.0316994896811e-06,"RERE"
"DAB2",10.0423998373945,4.16641721512481,1.18018059802784,2.55898399436148e-05,0.000343735768292035,"DAB2"
"NPDC1",9.84865438523127,4.16177507347917,1.40509340071066,0.000242848479174897,0.00200341098551335,"NPDC1"
"CD63",28.0369286737112,4.16005154166977,1.14446756769981,8.97911920497684e-06,0.000158209393373476,"CD63"
"PHF1",10.960707703759,4.15706594492627,1.02154117964516,3.57765560146446e-06,7.59096866430845e-05,"PHF1"
"GPAA1",13.1443584141057,4.15333272719883,1.04996163686465,4.09638658817125e-06,8.45051662444494e-05,"GPAA1"
"ITGA2",24.6607977568882,4.15128910653709,1.16860276482371,2.74780825415692e-05,0.000363229919920406,"ITGA2"
"LARGE2",14.3566663174785,4.14984953572821,1.20770353698447,8.97352478794567e-05,0.000915558691541229,"LARGE2"
"LPIN3",14.9275032074253,4.14881079416723,1.04589730246865,1.16105749407413e-05,0.000192343533983137,"LPIN3"
"TMEM39B",3.84380751394908,4.14527516613867,1.67943130233762,0.00163811683703227,0.00863095787625018,"TMEM39B"
"CYFIP1",21.2763522246248,4.14467258166481,0.996857066983798,5.59462810166599e-07,1.7607503274976e-05,"CYFIP1"
"NCAPD2",12.1399577898716,4.14355875390936,1.25236380119684,5.17172010028383e-05,0.000597192818955173,"NCAPD2"
"GBF1",121.188188921327,4.13749953558542,0.756443178982289,7.17830073980368e-09,5.68217529549432e-07,"GBF1"
"JUN",19.0712946248302,4.13649724604575,1.03422223526863,9.18758872624006e-06,0.00016107917653908,"JUN"
"MYH2",16.90153045715,4.13575686847928,1.21919720089164,2.2109635928515e-05,0.00030842178213805,"MYH2"
"SRCAP",99.0318107455001,4.13318133238944,0.990062215182187,2.52297879109673e-06,5.75009836051434e-05,"SRCAP"
"JUP",97.6309421865263,4.13181307441656,0.973960968666536,1.02928635128146e-06,2.84067381144492e-05,"JUP"
"C22orf23",7.96454640035751,4.13109829373039,1.32666536658019,0.000169240457624905,0.00151267356527358,"C22orf23"
"HCAR2",3.64470240896956,4.12921711996707,1.68605134178703,0.00195004462354519,0.00990513320464307,"HCAR2"
"RYK",12.6681287706829,4.12612095332066,1.00923136389675,3.39399019942996e-06,7.26673871335528e-05,"RYK"
"MYH1",28.0180312244112,4.12581728595311,1.02878612458324,5.18799326156354e-06,0.000101085506986491,"MYH1"
"COL11A1",40.1828868634863,4.12397966749565,0.885912422338701,2.92676557300113e-07,1.06469948203143e-05,"COL11A1"
"CEACAM5",24.0716547724275,4.12146695239593,1.37317698769634,0.00036017276329669,0.00272900874967589,"CEACAM5"
"TTLL5",14.7659963914425,4.11955502466568,0.958796887520393,4.07043934359182e-07,1.33765996196037e-05,"TTLL5"
"MEGF8",43.2467968711186,4.11925782337949,1.08255178891567,7.96144602691212e-06,0.000144573115834663,"MEGF8"
